Ref,Val,Package,PosX,PosY,Rot,Side
"D1","R_LED","LED_SMD3030",-123.500000,-66.650000,180.000000,bottom
"D2","G_LED","LED_SMD3030",-128.750000,-62.782500,-90.000000,bottom
"D3","B_LED","LED_SMD3030",-123.500000,-59.000000,180.000000,bottom
